어린이집명,운영현황,주소,행정동,위도,경도
새소망어린이집,정상,서울특별시 강서구 강서로18길 125 (화곡동),화곡2동,37.53527929,126.852446
소라어린이집,정상,서울특별시 강서구 곰달래로45길 15 1층 소라어린이집,화곡2동,37.53309734,126.8563236
예원비전스쿨어린이집,재개,서울특별시 강서구 강서로24길 65 (화곡동),화곡본동,37.53946588,126.8463054
꿈초롱어린이집,정상,서울특별시 강서구 허준로 234 912동 106호(가양동,가양3동,37.55855504,126.8633761
아이꿈어린이집,정상,서울특별시 강서구 공항대로39길 74 505동 105호(등촌동,등촌3동,37.56121729,126.8446357
꿈을여는어린이집,정상,서울특별시 강서구 곰달래로53가길 6 (화곡동),화곡4동,37.53353374,126.8592773
새빛아이어린이집,정상,서울특별시 강서구 강서로33가길 86 101동 106호(화곡동,화곡3동,37.54513356,126.8362774
개구리 어린이집,정상,서울특별시 강서구 초록마을로24길 21-4,화곡본동,37.53920479,126.8506736
초록영재어린이집,정상,서울특별시 강서구 초록마을로14길 2 (화곡동),화곡본동,37.54181262,126.850233
혜화어린이집,휴지,서울특별시 강서구 양천로18길 27 삼성꽃마을아파트 103동 201~203호 (방화동),방화1동,37.57242037,126.8135318
까꿍어린이집,정상,서울특별시 강서구 강서로10길 150 (화곡동),화곡2동,37.53092499,126.8561429
푸른꿈어린이집,정상,서울특별시 강서구 공항대로55길 50 203동 101호(등촌동,등촌1동,37.55516187,126.8619632
사과나무어린이집,정상,서울특별시 강서구 양천로24가길 59 105동 102호(방화동,방화1동,37.57106072,126.8138386
주연어린이집,정상,서울특별시 강서구 까치산로10길 57,화곡본동,37.54157248,126.8472552
발산어린이집,정상,서울특별시 강서구 우장산로 45 구립 발산어린이집 (내발산동),우장산동,37.55446218,126.8422029
하은어린이집,정상,서울특별시 강서구 강서로56나길 37 305동 104호(등촌동,등촌3동,37.56108007,126.8408477
